System ID,Receptor,G-protein family,Total pockets (fpocket),Druggable consensus clusters,N druggable clusters,Orthosteric consensus clusters,N orthosteric clusters
Gi_8JZZ,C5a anaphylatoxin chemotactic receptor 1,Gi,8,none,0,none,0
Gi_8K3Z,C-X-C chemokine receptor type 4,Gi,10,none,0,none,0
Gi_8K6O,Neuropeptide Y receptor type 1,Gi,12,0;3;11,3,14,1
Gi_8KFX,C-C chemokine receptor type 8,Gi,12,2;39,2,1,1
Gi_8PJK,5-hydroxytryptamine receptor 1A,Gi,12,2,1,1,1
Gi_8UGY,5-hydroxytryptamine receptor 1E,Gi,14,18;22;69,3,1,1
Gi_8WWH,Melanin-concentrating hormone receptor 1,Gi,13,11;13;50;76,4,none,0
Gi_8X8L,Somatostatin receptor type 5,Gi,8,2,1,none,0
Gi_8XGM,Chemerin-like receptor 2,Gi,8,none,0,none,0
Gi_8XIP,Somatostatin receptor type 1,Gi,10,none,0,none,0
Gi_8XIQ,Somatostatin receptor type 3,Gi,12,none,0,none,0
Gi_8XXU,Prostaglandin D2 receptor 2,Gi,8,none,0,none,0
Gi_8XYD,Platelet-activating factor receptor,Gi,2,none,0,none,0
Gi_8XZI,Apelin receptor,Gi,12,5;15;22,3,1,1
Gi_8YNA,Histamine H4 receptor,Gi,10,2;5,2,1,1
Gi_8ZQE,G-protein coupled receptor 15,Gi,15,0;11;26,3,1,1
Gi_9AST,Chemokine XC receptor 1,Gi,11,4;5,2,none,0
Gi_9IIX,Taste receptor type 2 member 14,Gi,11,8,1,7;20,2
Gi_9J5V,Lysophosphatidic acid receptor 1,Gi,9,21,1,7,1
Gq_6OIJ,Muscarinic acetylcholine receptor M1,Gq,17,11;22;27,3,1,1
Gq_7DFL,Histamine H1 receptor,Gq,10,25;37,2,none,0
Gq_7DWC,Muscarinic acetylcholine receptor M1,Gq,19,17,1,none,0
Gq_7E9W,,Gq,18,none,0,none,0
Gq_7EIB,B1 bradykinin receptor,Gq,13,17,1,none,0
Gq_7EZM,Cholecystokinin receptor type A,Gq,11,0;69,2,8,1
Gq_7F2O,B2 bradykinin receptor,Gq,12,11,1,none,0
Gq_7F6G,Angiotensin receptor AT1R,Gq,14,none,0,none,0
Gq_7F8W,Gastrin/cholecystokinin type B receptor,Gq,8,0;22;69,3,none,0
Gq_7F9Z,Growth hormone secretagogue receptor type 1,Gq,13,0,1,13,1
Gq_7P00,Substance-P receptor,Gq,9,0;22,2,5,1
Gq_7S8L,Mas-related G-protein coupled receptor member X2,Gq,13,none,0,4,1
Gq_7S8P,Mas-related G-protein coupled receptor member X4,Gq,10,11;12,2,7,1
Gq_7SR8,Orexin receptor type 2,Gq,11,none,0,1,1
Gq_7SRR,5-hydroxytryptamine receptor 2B,Gq,12,0;7,2,1,1
Gq_7W3Z,Gastrin-releasing peptide receptor,Gq,8,none,0,none,0
Gq_7W53,Neuromedin-U receptor 1,Gq,9,22,1,none,0
Gq_7W55,Neuromedin-U receptor 2,Gq,9,none,0,22,1
Gq_7XJL,Galanin receptor type 2,Gq,10,2;11;40,3,1,1
Gq_7XW9,Thyrotropin-releasing hormone receptor,Gq,13,0;10;19;22,4,none,0
Gq_7XWO,Substance-K receptor,Gq,12,none,0,none,0
Gq_7Y26,Somatostatin receptor type 2,Gq,10,0;11;20,3,none,0
Gq_8DWC,Mas-related G-protein coupled receptor member X1,Gq,14,11;14;34,3,4;19,2
Gq_8E9W,Muscarinic acetylcholine receptor M3,Gq,10,none,0,none,0
Gq_8EJC,Free fatty acid receptor 1,Gq,11,11,1,11,1
Gq_8F7X,Nociceptin receptor,Gq,12,8;11;22;39,4,0;3,2
Gq_8H0P,Neuromedin-B receptor,Gq,12,0;11;27,3,none,0
Gq_8HCQ,Endothelin receptor type B,Gq,8,0;7,2,none,0
Gq_8HCX,Endothelin receptor type B,Gq,10,0,1,3,1
Gq_8IBV,Motilin receptor,Gq,9,22;40,2,11,1
Gq_8IUK,Prostaglandin F2-alpha receptor,Gq,11,0;22,2,0,1
Gq_8IYS,Free fatty acid receptor 4,Gq,9,none,0,1,1
Gq_8JBG,Neuromedin-K receptor,Gq,12,none,0,none,0
Gq_8WST,Melanin-concentrating hormone receptor 2,Gq,5,2;50,2,none,0
Gq_8WZ2,Pyroglutamylated RF-amide peptide receptor,Gq,9,0,1,1,1
Gq_8XGS,KiSS-1 receptor,Gq,7,none,0,none,0
Gq_8XOJ,G-protein coupled estrogen receptor 1,Gq,11,5;20,2,none,0
Gq_8XOR,Proteinase-activated receptor 1,Gq,10,6;7;9;53,4,none,0
Gq_8Y53,Bombesin receptor subtype-3,Gq,11,0;7,2,1,1
Gq_8ZPT,Prolactin-releasing peptide receptor,Gq,9,8,1,14,1
Gs_3SN6,Beta-2 adrenergic receptor,Gs,6,none,0,1,1
Gs_6GDG,Adenosine receptor A2a,Gs,15,11;22;26,3,1,1
Gs_6LI3,G-protein coupled receptor 52,Gs,8,44,1,none,0
Gs_7CFN,G-protein coupled bile acid receptor 1,Gs,9,none,0,1;20,2
Gs_7CX2,Prostaglandin E2 receptor EP2 subtype,Gs,14,11;53,2,0,1
Gs_7D7M,Prostaglandin E2 receptor EP4 subtype,Gs,7,none,0,none,0
Gs_7F4H,Melanocyte-stimulating hormone receptor,Gs,8,11;24;92,3,none,0
Gs_7F54,Melanocortin receptor 4,Gs,8,11,1,4,1
Gs_7FIG,Lutropin-choriogonadotropic hormone receptor,Gs,10,24,1,none,0
Gs_7JVQ,D(1A) dopamine receptor,Gs,14,15;22;40,3,1,1
Gs_7KH0,Vasopressin V2 receptor,Gs,10,2;7;45,3,none,0
Gs_7L1V,Orexin receptor type 2,Gs,13,none,0,1,1
Gs_7MBX,Cholecystokinin receptor type A,Gs,5,none,0,none,0
Gs_7RMH,Substance-P receptor,Gs,9,19;22,2,none,0
Gs_7T9N,Thyrotropin receptor,Gs,5,none,0,none,0
Gs_7TMW,Relaxin receptor 1,Gs,6,none,0,none,0
Gs_7XT8,5-hydroxytryptamine receptor 4,Gs,11,5;92,2,1,1
Gs_7XTB,5-hydroxytryptamine receptor 6,Gs,11,none,0,1,1
Gs_7XTC,5-hydroxytryptamine receptor 7,Gs,12,22,1,1,1
Gs_7XV3,Probable G-protein coupled receptor 174,Gs,9,none,0,27,1
Gs_7XZ5,Glucose-dependent insulinotropic receptor,Gs,7,none,0,7,1
Gs_7Y3G,G-protein coupled receptor 12,Gs,13,15;19;23,3,none,0
Gs_8F76,Olfactory receptor 51E2,Gs,10,5;26,2,8,1
Gs_8GY7,Adrenocorticotropic hormone receptor,Gs,13,11;16,2,none,0
Gs_8H4I,Free fatty acid receptor 4,Gs,12,9;11;21,3,1,1
Gs_8HDP,Adenosine receptor A2b,Gs,13,11;22;40,3,1,1
Gs_8HJ1,Probable G-protein coupled receptor 21,Gs,13,2;11,2,none,0
Gs_8HJ2,Probable G-protein coupled receptor 21,Gs,13,15;25,2,none,0
Gs_8HNK,C-X-C chemokine receptor type 3,Gs,11,2;34;50,3,none,0
Gs_8HTI,Consensus Olfactory Receptor OR52c,Gs,10,33;76,2,0,1
Gs_8I2G,Follicle-stimulating hormone receptor,Gs,8,0,1,0,1
Gs_8INR,Melanocortin receptor 5,Gs,14,11,1,0;26,2
Gs_8IOC,Melanocortin receptor 3,Gs,15,11,1,none,0
Gs_8IRV,D(1B) dopamine receptor,Gs,15,5;15;22;49,4,1,1
Gs_8JPP,Succinate receptor 1,Gs,9,13;47,2,1,1
Gs_8KGK,G-protein coupled receptor 61,Gs,9,none,0,none,0
Gs_8KH5,Probable G-protein coupled receptor 174,Gs,9,none,0,none,0
Gs_8SMV,G-protein coupled receptor 161,Gs,10,2,1,none,0
Gs_8U8F,G-protein coupled receptor 3,Gs,13,11;40,2,7,1
Gs_8W87,Trace amine-associated receptor 1,Gs,18,5;22;43;55,4,1,1
Gs_8W8Q,Probable G-protein coupled receptor 101,Gs,10,5;25,2,none,0
Gs_8WJX,P2Y purinoceptor 1,Gs,9,38,1,12,1
Gs_8X79,Prostacyclin receptor,Gs,11,40,1,0,1
Gs_8XVI,Endothelin-1 receptor,Gs,9,0;7,2,3,1
Gs_8YN2,Histamine H1 receptor,Gs,16,5;11,2,1,1
Gs_8YUT,Histamine H2 receptor,Gs,14,none,0,1,1
Gs_8YUV,Histamine H3 receptor,Gs,11,5;22,2,1,1
Gs_9BLC,Calcitonin receptor,Gs,6,none,0,6,1
Gi_6LML,Glucagon receptor,Gi,12,1,1,none,0
Gi_7TS0,Corticotropin-releasing factor receptor 2,Gi,8,70,1,10,1
Gq_7TRY,Corticotropin-releasing factor receptor 2,Gq,7,none,0,none,0
Gs_6NBI,Parathyroid hormone/parathyroid hormone-related peptide receptor,Gs,12,none,0,15,1
Gs_6PB0,Corticotropin-releasing factor receptor 1,Gs,10,1,1,none,0
Gs_6PB1,Corticotropin-releasing factor receptor 2,Gs,6,1,1,9,1
Gs_6UVA,Calcitonin gene-related peptide type 1 receptor,Gs,12,none,0,none,0
Gs_6WZG,Secretin receptor,Gs,10,4;14,2,10;15,2
Gs_7D68,Glucagon-like peptide 2 receptor,Gs,15,none,0,26,1
Gs_7DUQ,Glucagon-like peptide 1 receptor,Gs,13,none,0,9,1
Gs_7F16,Parathyroid hormone 2 receptor,Gs,12,none,0,15,1
Gs_7FIN,Gastric inhibitory polypeptide receptor,Gs,12,none,0,2;6;10,3
Gs_7V9M,GHRH receptor splice variant 1,Gs,13,24,1,10,1
Gs_7WBJ,Vasoactive intestinal polypeptide receptor 2,Gs,11,none,0,none,0
Gs_8E3X,Pituitary adenylate cyclase-activating polypeptide type I receptor,Gs,10,none,0,none,0
Gs_8E3Y,Vasoactive intestinal polypeptide receptor 1,Gs,11,none,0,none,0
Gs_8F0J,Calcitonin receptor,Gs,8,none,0,none,0
Gs_8FU6,Glucagon receptor,Gs,15,none,0,none,0
G12_7SF7,Adhesion G protein-coupled receptor L3,G12-13,11,none,0,none,0
G12_7SF8,Adhesion G-protein coupled receptor G1,G12-13,3,none,0,none,0
Gi_7D77,Adhesion G protein-coupled receptor G3,Gi,10,none,0,none,0
Gq_7YDM,Adhesion G protein-coupled receptor E5,Gq,11,none,0,none,0
Gs_7EQ1,Adhesion G-protein coupled receptor G5,Gs,8,none,0,none,0
Gs_7WU2,Adhesion G-protein coupled receptor D1,Gs,11,none,0,none,0
Gs_7WU3,Adhesion G-protein coupled receptor F1,Gs,8,none,0,none,0
Gs_7WUJ,Adhesion G-protein coupled receptor G4,Gs,12,none,0,none,0
