Cluster ID,Member systems (n),Unique pockets (n),Mean occupancy frequency,Zone(s),Core generic positions,Gi/o (n),Gs (n),Gq/11 (n),G12/13 (n),Member system IDs
10,2,2,0.881,"{""tm_core_allosteric"": 2}",5.47x47;5.49x49;5.44x44;5.46x46;6.48x48;5.51x51;5.48x48;3.48x48;3.41x41;5.45x45;5.41x41;3.44x44;5.50x50,1,0,1,0,Gi_6PT0;Gq_7XW9
11,36,36,0.894,"{""intracellular_allosteric"": 20, ""tm_core_allosteric"": 16}",4.45x45;2.42x42;3.45x45;3.48x48;3.49x49;4.41x41;3.52x52;3.44x44;4.42x42,14,12,9,1,G12_8KGG;Gi_6K42;Gi_6LFO;Gi_7VGZ;Gi_7W0N;Gi_7W6P;Gi_7WV9;Gi_7WVU;Gi_7X9C;Gi_7XBX;Gi_7YU8;Gi_8IRU;Gi_8K6O;Gi_8WWH;Gi_8ZQE;Gq_6OIJ;Gq_7F2O;Gq_7S8P;Gq_7XJL;Gq_7Y26;Gq_8DWC;Gq_8EJC;Gq_8F7X;Gq_8H0P;Gs_6GDG;Gs_7CX2;Gs_7F4H;Gs_7F54;Gs_8GY7;Gs_8H4I;Gs_8HDP;Gs_8HJ1;Gs_8INR;Gs_8IOC;Gs_8U8F;Gs_8YN2
12,3,3,0.896,"{""intracellular_allosteric"": 3}",3.48x48;3.51x51;7.53x53;5.54x54;3.47x47;3.50x50;5.61x61;3.46x46;5.57x57;5.58x58;6.37x37;3.43x43;6.40x40;3.44x44,1,0,1,1,G12_8KGG;Gi_8IHJ;Gq_7S8P
13,3,3,0.864,"{""tm_core_allosteric"": 3}",6.37x37;6.41x41;6.42x42;6.38x38,2,1,0,0,Gi_7Y12;Gi_8WWH;Gs_8JPP
14,2,2,0.865,"{""tm_core_allosteric"": 1, ""intracellular_allosteric"": 1}",5.42x42;5.45x45;5.43x43;5.46x46;4.56x56;5.49x49,0,1,1,0,Gq_8DWC;Gs_6WZG
15,7,7,0.889,"{""intracellular_allosteric"": 2, ""tm_core_allosteric"": 5}",1.50x50;1.53x53;2.47x47;2.46x46;2.43x43;2.50x50;7.49x49;7.50x50;1.49x49;7.53x53;7.54x54,3,4,0,0,Gi_6LFO;Gi_7VL9;Gi_8XZI;Gs_7JVQ;Gs_7Y3G;Gs_8HJ2;Gs_8IRV
16,6,6,0.889,"{""tm_core_allosteric"": 6}",3.36x36;6.48x48;3.39x39;3.35x35;3.40x40;2.50x50;3.32x32;7.42x41;2.53x53;7.49x49;7.46x46;7.45x45;3.43x43;6.51x51;2.49x49;3.37x37;7.43x42;2.46x46,5,1,0,0,Gi_7F1Q;Gi_7XK8;Gi_7XMS;Gi_7Y12;Gi_7YON;Gs_8GY7
17,3,3,0.919,"{""tm_core_allosteric"": 3}",1.44x44;1.43x43;1.42x42;1.56x56;1.41x41;1.55x55,1,0,2,0,Gi_7T96;Gq_7DWC;Gq_7EIB
18,2,2,0.875,"{""intracellular_allosteric"": 2}",5.66x66;5.64x64;5.68x68;5.65x65;6.30x30;6.24x24;6.27x27;6.26x26;5.67x67;3.55x55;5.63x63;5.71x71,2,0,0,0,Gi_7SQO;Gi_8UGY
19,6,6,0.877,"{""tm_core_allosteric"": 5, ""intracellular_allosteric"": 1}",2.41x41;2.45x45;2.44x44;4.46x46;4.50x50;1.58x58;1.54x54;1.57x57,2,2,1,1,G12_9IY8;Gi_6OSA;Gi_7EW1;Gq_7XW9;Gs_7RMH;Gs_7Y3G
20,3,3,0.914,"{""extracellular_vestibule"": 2, ""tm_core_allosteric"": 1}",3.36x36;3.33x33;2.60x60;6.48x48;6.51x51;7.39x38;3.32x32;7.43x42;5.42x43;3.29x29;1.39x39;5.38x39;3.25x25;45.50x50;1.35x35;3.30x30;6.55x55;2.56x56;3.28x28;2.57x57;7.42x41;6.52x52;4.57x57;3.37x37;2.53x53,1,0,2,0,Gi_7XBX;Gq_7Y26;Gq_8XOJ
21,3,3,0.885,"{""intracellular_allosteric"": 3}",2.39x39;3.53x53;2.37x37;3.56x56;3.49x49,2,1,0,0,Gi_7VIF;Gi_9J5V;Gs_8H4I
22,30,30,0.897,"{""tm_core_allosteric"": 20, ""intracellular_allosteric"": 10}",5.62x62;6.41x41;5.58x58;5.59x59;6.38x38;5.55x55;6.37x37;6.34x34,14,8,8,0,Gi_6K42;Gi_6WWZ;Gi_7EW1;Gi_7EXD;Gi_7F8V;Gi_7NA7;Gi_7W6P;Gi_7X9C;Gi_7XMS;Gi_7YON;Gi_8IRU;Gi_8J18;Gi_8UGY;Gi_8XZI;Gq_6OIJ;Gq_7F8W;Gq_7P00;Gq_7W53;Gq_7XW9;Gq_8F7X;Gq_8IBV;Gq_8IUK;Gs_6GDG;Gs_7JVQ;Gs_7RMH;Gs_7XTC;Gs_8HDP;Gs_8IRV;Gs_8W87;Gs_8YUV
23,3,3,0.898,"{""extracellular_vestibule"": 2, ""tm_core_allosteric"": 1}",7.43x42;2.50x50;3.36x36;7.44x43;2.54x54;2.57x57;7.42x41;1.42x42;7.46x46;7.47x47;7.45x45;2.53x53;7.40x39;2.51x51;1.39x39;7.36x35;7.39x38;3.32x32;1.43x43;6.48x48;1.38x38;1.46x46;1.41x41;1.40x40;3.39x39,1,1,1,0,Gi_7WU9;Gq_7XXH;Gs_7Y3G
24,3,3,0.915,"{""tm_core_allosteric"": 2, ""intracellular_allosteric"": 1}",3.41x41;4.56x56;4.52x52;5.46x46;4.53x53;5.42x42,0,3,0,0,Gs_7F4H;Gs_7FIG;Gs_7V9M
25,3,3,0.901,"{""extracellular_vestibule"": 1, ""tm_core_allosteric"": 2}",6.54x54;7.43x42;7.40x39;7.35x34;6.51x51;7.38x37;7.39x38;7.42x41;7.36x35;7.33x32;6.48x48;2.61x60;45.50x50;7.34x33,0,2,1,0,Gq_7DFL;Gs_8HJ2;Gs_8W8Q
26,7,7,0.899,"{""extracellular_vestibule"": 1, ""tm_core_allosteric"": 6}",8.54x54;7.51x51;1.48x48;7.50x50;1.49x49;1.52x52;7.55x55;1.53x53;1.50x50;7.54x54,5,2,0,0,Gi_6K42;Gi_7X9A;Gi_7YON;Gi_8IY5;Gi_8ZQE;Gs_6GDG;Gs_8F76
27,3,3,0.879,"{""extracellular_vestibule"": 3}",6.61x61;6.59x59;6.58x58,1,0,2,0,Gi_8HS3;Gq_6OIJ;Gq_8H0P
33,2,2,0.897,"{""tm_core_allosteric"": 1, ""intracellular_allosteric"": 1}",1.56x56;1.54x54;1.57x57;2.49x49;8.57x57;1.53x53;1.52x52;8.54x54,1,1,0,0,Gi_7XXI;Gs_8HTI
34,3,3,0.871,"{""intracellular_allosteric"": 3}",2.40x40;2.37x37;1.60x60;8.49x49,1,1,1,0,Gi_8J6D;Gq_8DWC;Gs_8HNK
37,3,3,0.893,"{""tm_core_allosteric"": 2, ""intracellular_allosteric"": 1}",3.48x48;3.49x49;3.51x51;3.52x52;3.45x45;3.44x44,1,0,1,1,G12_8IKL;Gi_7X9A;Gq_7DFL
38,2,2,0.887,"{""tm_core_allosteric"": 2}",4.57x57;5.38x39;3.33x33;4.60x60;3.37x37;5.42x43;4.56x56;4.59x59;5.43x44;5.35x36;6.55x55;6.51x51;6.52x52;5.39x40;6.56x56;45.52x52,1,1,0,0,Gi_8F7S;Gs_8WJX
39,2,2,0.881,"{""extracellular_vestibule"": 2}",1.33x33;1.31x31;1.32x32;1.35x35;1.30x30;1.34x34;1.28x28;7.36x35;7.40x39;2.64x64;1.36x36,1,0,1,0,Gi_8KFX;Gq_8F7X
40,6,6,0.892,"{""intracellular_allosteric"": 4, ""tm_core_allosteric"": 2}",6.36x36;7.53x53;6.40x40;3.50x50;6.37x37;7.52x52;6.39x39;5.58x58;5.61x61;6.33x33,0,4,2,0,Gq_7XJL;Gq_8IBV;Gs_7JVQ;Gs_8HDP;Gs_8U8F;Gs_8X79
43,3,3,0.880,"{""tm_core_allosteric"": 1, ""extracellular_vestibule"": 2}",7.41x40;7.44x43;7.40x39;1.42x42;1.39x39;7.43x42,2,1,0,0,Gi_7EW1;Gi_7QVM;Gs_8W87
44,2,2,0.888,"{""extracellular_vestibule"": 2}",1.39x39;7.36x35;1.35x35;7.40x39;7.37x36;2.65x64;7.33x32;7.39x38;7.43x42;3.28x28;1.42x42,1,1,0,0,Gi_7E33;Gs_6LI3
45,2,2,0.892,"{""tm_core_allosteric"": 2}",3.41x41;4.50x50;4.52x52;4.53x53;4.48x48;3.37x37;3.45x45;4.45x45;3.42x42;4.49x49;3.40x40;3.38x38;4.56x56;4.44x44;4.46x46;3.44x44,1,1,0,0,Gi_6PT0;Gs_7KH0
47,2,2,0.926,"{""tm_core_allosteric"": 2}",5.43x44;5.47x47;3.41x41;5.50x50;5.38x39;3.33x33;5.46x461;3.37x37;5.45x46;5.49x49;5.42x43;5.44x45;5.41x42;5.40x41;5.39x40;5.53x53;5.37x38;3.44x44;4.57x57;4.56x56;4.52x52;4.53x53,0,1,0,1,G12_9IY8;Gs_8JPP
48,2,2,0.920,"{""intracellular_allosteric"": 1, ""tm_core_allosteric"": 1}",8.50x50;2.39x39;2.37x37;2.38x38;2.43x43;7.55x55;7.53x53;1.53x53;7.52x52;3.50x50;7.54x54;34.53x53;3.49x49;7.49x49;12.50x50;8.49x49;12.51x51;8.47x47;7.51x51;2.40x40;3.53x53;7.50x50;2.42x42;34.56x56;3.52x52;3.44x44;34.54x54;3.48x48;34.52x52;1.57x57;3.45x45;4.41x41;34.50x50;34.55x55;4.45x45;12.49x49;7.48x48;1.49x49;8.54x54;1.50x50;2.50x50;1.45x45;3.43x43;7.56x56;2.47x47;3.46x46;7.46x46;7.47x47;1.46x46;7.45x45;2.46x46,2,0,0,0,Gi_6WWZ;Gi_7VGZ
49,3,3,0.870,"{""tm_core_allosteric"": 3}",4.56x56;5.41x42;5.38x39;4.59x60;5.45x46,2,1,0,0,Gi_7WVX;Gi_7XA3;Gs_8IRV
50,10,10,0.927,"{""tm_core_allosteric"": 9, ""extracellular_vestibule"": 1}",7.43x42;2.50x50;3.36x36;3.32x32;7.39x38;7.42x41;3.39x39;7.46x46;7.45x45;2.53x53;3.35x35;6.55x55;7.35x34;3.33x33;6.51x51;5.39x40;6.48x48;7.49x49;3.37x37;3.40x40;2.49x49;5.42x43;45.52x52;6.58x58;3.29x29;3.43x43;7.40x39;7.36x35;45.51x51;5.47x47;5.46x461;2.46x46;4.60x61;2.60x60;7.32x31;5.38x39;6.44x44;7.44x43;3.38x38;5.43x44;3.34x34;7.47x47;6.54x54;2.63x63;2.64x64;5.35x36;6.59x59;6.52x52,8,1,1,0,Gi_6CMO;Gi_6LFO;Gi_6WWZ;Gi_7E2X;Gi_7VL9;Gi_7X9Y;Gi_7XA3;Gi_8WWH;Gq_8WST;Gs_8HNK
53,2,2,0.880,"{""tm_core_allosteric"": 1, ""extracellular_vestibule"": 1}",7.35x34;7.36x35;7.39x38;45.51x51;2.64x64;3.33x33;3.32x32;45.52x52,0,1,1,0,Gq_8XOR;Gs_7CX2
55,2,2,0.883,"{""extracellular_vestibule"": 2}",3.22x22;4.61x61;3.26x26;45.51x51;3.25x25;3.29x29;5.38x39;45.50x50;45.52x52,1,1,0,0,Gi_7E2X;Gs_8W87
56,2,2,0.858,"{""tm_core_allosteric"": 2}",4.45x45;4.49x49;4.48x48;4.44x44;4.41x41;3.49x49,1,0,0,1,G12_7T6B;Gi_7F8V
68,3,3,0.868,"{""tm_core_allosteric"": 2, ""intracellular_allosteric"": 1}",1.59x59;8.53x53;8.56x56;8.52x52;12.48x48;12.49x49;1.60x60,3,0,0,0,Gi_6K42;Gi_7F1Q;Gi_7W6P
69,6,6,0.886,"{""tm_core_allosteric"": 5, ""intracellular_allosteric"": 1}",3.49x49;34.56x56;34.57x57;34.53x53;3.52x52;4.41x41;4.38x38,4,0,2,0,Gi_7E33;Gi_7EZH;Gi_8HQM;Gi_8UGY;Gq_7EZM;Gq_7F8W
70,2,2,0.867,"{""intracellular_allosteric"": 2}",8.57x57;8.53x53;8.56x56;8.60x60;8.52x52;1.63x63;8.54x54;8.58x58;8.55x55,2,0,0,0,Gi_7TS0;Gi_8J21
76,2,2,0.868,"{""intracellular_allosteric"": 2}",3.48x48;3.51x51;5.56x56;5.53x53;5.57x57;5.54x54;5.60x60;3.47x47;3.44x44,1,1,0,0,Gi_8WWH;Gs_8HTI
82,2,2,0.902,"{""intracellular_allosteric"": 2}",3.49x49;4.42x42;3.50x50;3.53x53;3.52x52;3.48x48;2.38x38;1.57x57;2.43x43;3.46x46,2,0,0,0,Gi_7QVM;Gi_8ID9
92,2,2,0.869,"{""intracellular_allosteric"": 2}",5.72x72;5.75x75;5.68x68;5.67x67;5.74x74;5.71x71;5.73x73;5.69x69;5.70x70,0,2,0,0,Gs_7F4H;Gs_7XT8
