System ID,TM3-TM4 open_fraction,TM3-TM4 open_fraction CI,TM3-TM4 mean_dist (Å),TM7-TM1 open_fraction,TM7-TM1 open_fraction CI,TM7-TM1 mean_dist (Å),TM4-TM5 open_fraction,TM4-TM5 open_fraction CI,TM4-TM5 mean_dist (Å),TM5-TM6 open_fraction,TM5-TM6 open_fraction CI,TM5-TM6 mean_dist (Å),TM1-TM2 open_fraction,TM1-TM2 open_fraction CI,TM1-TM2 mean_dist (Å),TM6-TM7 open_fraction,TM6-TM7 open_fraction CI,TM6-TM7 mean_dist (Å),TM2-TM3 open_fraction,TM2-TM3 open_fraction CI,TM2-TM3 mean_dist (Å)
Gi_7JVR,0.244,"[0.184,0.303]",7.51,0.272,"[0.139,0.373]",7.06,0.025,"[0.015,0.040]",3.37,0.292,"[0.219,0.328]",6.42,0.056,"[0.035,0.070]",6.14,0.036,"[0.020,0.065]",5.76,0.002,"[0.000,0.005]",2.20
Gi_7NA7,0.232,"[0.115,0.395]",8.82,0.463,"[0.380,0.510]",6.36,0.170,"[0.110,0.280]",3.92,0.343,"[0.210,0.480]",9.95,0.090,"[0.050,0.170]",9.42,0.195,"[0.015,0.525]",7.67,0.002,"[0.000,0.005]",3.39
Gi_7QVM,0.937,"[0.870,0.980]",15.12,0.560,"[0.410,0.655]",5.36,0.142,"[0.085,0.170]",2.72,0.092,"[0.025,0.155]",7.31,0.122,"[0.005,0.350]",7.55,0.297,"[0.150,0.485]",7.68,0.007,"[0.000,0.015]",5.70
Gi_7SQO,0.702,"[0.670,0.750]",8.56,0.342,"[0.265,0.420]",9.53,0.312,"[0.290,0.340]",3.88,0.000,"[0.000,0.000]",5.72,0.337,"[0.235,0.460]",7.12,0.005,"[0.000,0.010]",7.19,0.000,"[0.000,0.000]",1.90
Gi_7T10,0.537,"[0.360,0.625]",8.77,0.582,"[0.485,0.670]",7.83,0.105,"[0.055,0.165]",3.51,0.390,"[0.365,0.420]",6.24,0.132,"[0.060,0.185]",6.23,0.065,"[0.045,0.095]",7.59,0.002,"[0.000,0.005]",5.62
Gi_7T96,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00
Gi_7TS0,0.455,"[0.385,0.580]",9.50,0.002,"[0.000,0.005]",7.54,0.102,"[0.085,0.125]",2.74,0.110,"[0.070,0.190]",6.70,0.030,"[0.000,0.075]",9.03,0.102,"[0.045,0.145]",7.65,0.000,"[0.000,0.000]",2.81
Gi_7TUZ,0.468,"[0.440,0.515]",10.22,0.402,"[0.295,0.545]",10.88,0.302,"[0.225,0.410]",7.75,0.110,"[0.075,0.175]",7.61,0.053,"[0.015,0.105]",8.12,0.073,"[0.050,0.100]",8.86,0.000,"[0.000,0.000]",4.34
Gi_7V68,0.517,"[0.443,0.612]",6.22,0.401,"[0.348,0.428]",5.17,0.128,"[0.035,0.179]",2.27,0.272,"[0.164,0.423]",5.26,0.318,"[0.139,0.488]",7.01,0.299,"[0.149,0.507]",4.99,0.232,"[0.109,0.433]",1.74
Gi_7VDL,0.170,"[0.050,0.230]",5.65,0.360,"[0.320,0.380]",7.32,0.093,"[0.040,0.120]",4.52,0.497,"[0.460,0.515]",6.99,0.013,"[0.000,0.020]",9.40,0.012,"[0.005,0.015]",6.72,0.000,"[0.000,0.000]",4.55
Gi_7VGZ,0.628,"[0.415,0.865]",10.80,0.495,"[0.160,0.730]",6.61,0.378,"[0.205,0.525]",5.34,0.005,"[0.000,0.010]",6.49,0.008,"[0.005,0.010]",7.82,0.265,"[0.180,0.345]",7.83,0.002,"[0.000,0.005]",4.62
Gi_7VH0,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00
Gi_7VIF,0.620,"[0.545,0.675]",7.67,0.413,"[0.370,0.495]",6.32,0.063,"[0.020,0.105]",2.02,0.143,"[0.040,0.340]",7.70,0.188,"[0.095,0.270]",6.57,0.002,"[0.000,0.005]",6.71,0.000,"[0.000,0.000]",1.90
Gi_7VKT,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00
Gi_7VL9,0.543,"[0.410,0.630]",10.76,0.323,"[0.175,0.530]",8.83,0.357,"[0.205,0.475]",4.51,0.085,"[0.025,0.175]",8.06,0.050,"[0.010,0.090]",8.88,0.053,"[0.040,0.065]",8.36,0.000,"[0.000,0.000]",5.69
Gi_7VUG,0.625,"[0.522,0.716]",14.38,0.345,"[0.254,0.512]",9.59,0.119,"[0.040,0.169]",2.67,0.262,"[0.045,0.398]",16.44,0.343,"[0.070,0.577]",12.18,0.433,"[0.348,0.493]",10.39,0.154,"[0.010,0.333]",5.12
Gi_7W0N,0.482,"[0.450,0.530]",11.73,0.348,"[0.305,0.430]",9.01,0.137,"[0.120,0.155]",5.17,0.082,"[0.040,0.135]",7.48,0.083,"[0.000,0.145]",8.30,0.045,"[0.005,0.065]",7.28,0.015,"[0.000,0.025]",3.80
Gi_7W6P,0.263,"[0.195,0.330]",8.16,0.822,"[0.760,0.940]",8.07,0.050,"[0.015,0.100]",3.58,0.245,"[0.150,0.405]",7.08,0.840,"[0.740,0.910]",8.86,0.023,"[0.000,0.045]",6.56,0.000,"[0.000,0.000]",2.71
Gi_7WQ3,0.492,"[0.415,0.530]",9.65,0.663,"[0.490,0.780]",8.84,0.100,"[0.080,0.115]",4.94,0.042,"[0.015,0.075]",6.69,0.012,"[0.005,0.015]",8.29,0.248,"[0.020,0.680]",8.97,0.002,"[0.000,0.005]",3.53
Gi_7WU9,0.793,"[0.705,0.875]",9.28,0.570,"[0.310,0.920]",10.99,0.482,"[0.410,0.565]",3.44,0.070,"[0.035,0.090]",8.75,0.283,"[0.040,0.565]",9.14,0.258,"[0.225,0.300]",6.93,0.005,"[0.000,0.010]",3.67
Gi_7WV9,0.685,"[0.290,0.885]",5.96,0.338,"[0.180,0.635]",7.21,0.682,"[0.215,0.930]",5.16,0.412,"[0.375,0.460]",7.87,0.243,"[0.120,0.470]",9.23,0.022,"[0.000,0.045]",6.58,0.000,"[0.000,0.000]",0.19
Gi_7WVU,0.457,"[0.365,0.510]",10.68,0.657,"[0.510,0.805]",9.90,0.127,"[0.095,0.185]",4.32,0.332,"[0.210,0.510]",9.09,0.105,"[0.005,0.205]",11.27,0.162,"[0.045,0.260]",8.31,0.013,"[0.000,0.035]",6.02
Gi_7WVX,0.535,"[0.390,0.670]",10.25,0.343,"[0.215,0.425]",9.78,0.390,"[0.285,0.500]",5.01,0.328,"[0.055,0.650]",9.73,0.002,"[0.000,0.005]",10.74,0.127,"[0.055,0.235]",7.90,0.000,"[0.000,0.000]",5.24
Gi_7X5H,0.325,"[0.280,0.365]",9.32,0.418,"[0.280,0.550]",9.54,0.058,"[0.030,0.095]",2.77,0.193,"[0.135,0.235]",6.08,0.360,"[0.160,0.555]",8.70,0.007,"[0.000,0.010]",6.98,0.003,"[0.000,0.005]",2.56
Gi_7X9A,0.658,"[0.560,0.765]",7.89,0.852,"[0.815,0.885]",8.92,0.297,"[0.170,0.500]",2.60,0.337,"[0.010,0.575]",8.54,0.173,"[0.110,0.300]",6.82,0.068,"[0.025,0.145]",7.65,0.000,"[0.000,0.000]",1.99
Gi_7X9C,0.687,"[0.535,0.850]",9.31,0.672,"[0.610,0.715]",8.64,0.208,"[0.120,0.280]",4.41,0.167,"[0.050,0.290]",8.56,0.360,"[0.240,0.535]",9.97,0.023,"[0.015,0.030]",6.74,0.017,"[0.010,0.025]",3.17
Gi_7X9Y,0.625,"[0.545,0.680]",10.10,0.837,"[0.815,0.860]",12.79,0.293,"[0.125,0.415]",4.71,0.167,"[0.110,0.215]",6.13,0.223,"[0.185,0.270]",7.31,0.597,"[0.260,0.800]",18.26,0.232,"[0.000,0.450]",4.38
Gi_7XA3,0.642,"[0.555,0.710]",9.89,0.375,"[0.355,0.400]",8.55,0.502,"[0.345,0.630]",6.00,0.075,"[0.000,0.185]",7.79,0.002,"[0.000,0.005]",7.89,0.097,"[0.050,0.145]",8.69,0.000,"[0.000,0.000]",4.81
Gi_7XBX,0.550,"[0.505,0.595]",9.43,0.180,"[0.115,0.250]",8.09,0.208,"[0.200,0.215]",2.23,0.617,"[0.470,0.870]",8.92,0.373,"[0.060,0.625]",9.20,0.100,"[0.010,0.205]",8.08,0.008,"[0.005,0.015]",6.73
Gi_7XK2,0.468,"[0.425,0.555]",6.90,0.347,"[0.215,0.525]",5.25,0.245,"[0.165,0.315]",1.95,0.252,"[0.120,0.365]",7.10,0.140,"[0.075,0.265]",10.17,0.032,"[0.015,0.045]",7.34,0.010,"[0.000,0.030]",5.04
Gi_7XK8,0.437,"[0.325,0.630]",9.51,0.537,"[0.520,0.545]",6.50,0.205,"[0.090,0.330]",4.00,0.198,"[0.065,0.290]",9.53,0.553,"[0.545,0.565]",8.12,0.022,"[0.020,0.025]",8.71,0.090,"[0.000,0.195]",4.39
Gi_7XMS,0.708,"[0.680,0.750]",8.39,0.358,"[0.270,0.405]",7.65,0.062,"[0.060,0.065]",3.51,0.133,"[0.095,0.195]",7.72,0.397,"[0.145,0.650]",6.20,0.035,"[0.000,0.095]",7.68,0.008,"[0.000,0.025]",3.55
Gi_7XTA,0.935,"[0.900,1.000]",10.61,0.847,"[0.685,0.975]",8.24,0.342,"[0.215,0.595]",3.63,0.432,"[0.155,0.780]",10.76,0.218,"[0.085,0.335]",5.51,0.338,"[0.115,0.620]",9.15,0.138,"[0.025,0.260]",5.51
Gi_7XXI,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00
Gi_7Y12,0.410,"[0.340,0.540]",8.40,0.595,"[0.565,0.620]",7.67,0.595,"[0.530,0.650]",6.82,0.307,"[0.300,0.315]",6.46,0.028,"[0.020,0.035]",8.15,0.087,"[0.010,0.200]",6.13,0.000,"[0.000,0.000]",3.78
Gi_7Y89,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00
Gi_7YK6,0.771,"[0.692,0.856]",10.50,0.619,"[0.587,0.672]",7.01,0.274,"[0.234,0.303]",2.76,0.071,"[0.040,0.124]",5.58,0.008,"[0.005,0.010]",6.02,0.030,"[0.005,0.070]",6.45,0.003,"[0.000,0.005]",4.45
Gi_7YK7,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00
Gi_7YKD,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00
Gi_7YON,0.695,"[0.630,0.760]",10.37,0.753,"[0.650,0.870]",9.01,0.410,"[0.255,0.505]",4.08,0.022,"[0.005,0.040]",7.29,0.057,"[0.025,0.085]",7.63,0.003,"[0.000,0.005]",8.10,0.000,"[0.000,0.000]",1.92
Gi_7YU8,0.408,"[0.205,0.640]",10.09,0.560,"[0.335,0.685]",8.51,0.538,"[0.300,0.745]",4.04,0.175,"[0.035,0.340]",5.70,0.357,"[0.055,0.520]",10.02,0.218,"[0.055,0.490]",8.30,0.000,"[0.000,0.000]",3.64
Gi_8DZQ,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00
Gi_8EFO,0.887,"[0.870,0.920]",14.30,0.485,"[0.350,0.605]",9.86,0.320,"[0.255,0.440]",3.08,0.238,"[0.145,0.350]",7.23,0.382,"[0.305,0.435]",9.43,0.053,"[0.010,0.135]",7.54,0.003,"[0.000,0.005]",6.03
Gi_8F7S,0.797,"[0.765,0.820]",12.72,0.648,"[0.595,0.715]",8.69,0.412,"[0.330,0.455]",3.44,0.412,"[0.270,0.525]",6.85,0.238,"[0.130,0.415]",9.48,0.162,"[0.020,0.265]",8.09,0.003,"[0.000,0.010]",4.07
Gi_8HK2,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00
Gi_8HK5,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00
Gi_8HQM,0.675,"[0.480,0.920]",13.34,0.523,"[0.260,0.945]",9.76,0.147,"[0.015,0.385]",6.13,0.438,"[0.215,0.585]",9.66,0.067,"[0.000,0.195]",8.81,0.337,"[0.310,0.380]",9.40,0.277,"[0.095,0.630]",5.84
Gi_8HS3,0.750,"[0.710,0.785]",9.94,0.742,"[0.640,0.875]",6.70,0.312,"[0.285,0.355]",1.24,0.102,"[0.080,0.120]",5.57,0.260,"[0.110,0.445]",7.93,0.068,"[0.055,0.080]",7.27,0.040,"[0.000,0.110]",3.23
Gi_8IC0,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00
Gi_8ID9,0.205,"[0.190,0.220]",9.09,0.342,"[0.145,0.635]",7.69,0.063,"[0.050,0.085]",4.91,0.230,"[0.105,0.410]",9.11,0.035,"[0.025,0.050]",8.61,0.022,"[0.000,0.060]",8.73,0.007,"[0.000,0.010]",3.54
Gi_8IHJ,0.430,"[0.380,0.505]",7.51,0.452,"[0.245,0.770]",8.75,0.225,"[0.120,0.420]",4.38,0.137,"[0.035,0.340]",7.21,0.008,"[0.005,0.010]",11.59,0.060,"[0.045,0.075]",8.01,0.002,"[0.000,0.005]",4.92
Gi_8IRU,0.238,"[0.220,0.265]",10.26,0.990,"[0.985,0.995]",9.71,0.033,"[0.025,0.045]",4.20,0.305,"[0.275,0.330]",7.37,0.035,"[0.020,0.045]",9.02,0.013,"[0.000,0.030]",6.21,0.052,"[0.035,0.075]",3.48
Gi_8IU2,0.380,"[0.190,0.700]",8.29,0.372,"[0.265,0.460]",8.45,0.198,"[0.010,0.570]",4.13,0.270,"[0.205,0.320]",9.61,0.092,"[0.020,0.165]",8.84,0.130,"[0.035,0.270]",10.80,0.005,"[0.000,0.010]",2.44
Gi_8IY5,0.660,"[0.635,0.705]",9.95,0.740,"[0.685,0.805]",9.94,0.417,"[0.360,0.520]",5.23,0.083,"[0.005,0.210]",7.57,0.158,"[0.065,0.285]",9.08,0.105,"[0.015,0.215]",7.39,0.002,"[0.000,0.005]",4.42
Gi_8J18,0.707,"[0.660,0.770]",5.75,0.415,"[0.280,0.500]",9.61,0.223,"[0.190,0.270]",3.50,0.033,"[0.015,0.045]",8.91,0.020,"[0.000,0.045]",7.70,0.015,"[0.010,0.025]",6.61,0.007,"[0.000,0.015]",1.80
Gi_8J21,0.277,"[0.235,0.325]",9.50,0.358,"[0.175,0.535]",7.39,0.125,"[0.085,0.185]",3.92,0.027,"[0.005,0.040]",7.15,0.085,"[0.000,0.255]",8.54,0.058,"[0.000,0.120]",7.34,0.090,"[0.030,0.135]",4.92
Gi_8J22,0.685,"[0.642,0.711]",8.06,0.599,"[0.542,0.627]",6.03,0.056,"[0.000,0.104]",1.78,0.385,"[0.308,0.438]",5.22,0.153,"[0.010,0.378]",5.05,0.182,"[0.050,0.299]",5.09,0.116,"[0.005,0.224]",3.41
Gi_8J6D,0.330,"[0.235,0.385]",10.73,0.547,"[0.455,0.700]",9.47,0.123,"[0.070,0.170]",3.90,0.052,"[0.030,0.085]",7.38,0.005,"[0.000,0.010]",9.23,0.020,"[0.005,0.035]",6.99,0.002,"[0.000,0.005]",5.14
Gi_8JZZ,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00
Gi_8K3Z,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00
Gi_8K6O,0.718,"[0.645,0.755]",8.52,0.828,"[0.785,0.850]",9.46,0.138,"[0.115,0.150]",3.31,0.012,"[0.005,0.015]",8.31,0.183,"[0.170,0.190]",7.05,0.022,"[0.015,0.025]",8.13,0.010,"[0.000,0.015]",2.84
Gi_8KFX,0.747,"[0.545,0.930]",10.35,0.540,"[0.450,0.675]",7.28,0.598,"[0.270,0.775]",4.67,0.177,"[0.010,0.320]",8.98,0.035,"[0.020,0.065]",8.49,0.290,"[0.275,0.320]",7.86,0.000,"[0.000,0.000]",5.57
Gi_8PJK,0.340,"[0.245,0.440]",9.43,0.922,"[0.905,0.930]",11.31,0.035,"[0.015,0.050]",3.45,0.435,"[0.365,0.485]",7.11,0.507,"[0.345,0.635]",8.62,0.167,"[0.030,0.425]",8.36,0.030,"[0.005,0.080]",2.04
Gi_8UGY,0.438,"[0.380,0.510]",9.26,0.417,"[0.395,0.435]",6.24,0.032,"[0.020,0.040]",4.87,0.007,"[0.000,0.020]",6.75,0.080,"[0.055,0.120]",6.41,0.005,"[0.005,0.005]",7.60,0.000,"[0.000,0.000]",1.41
Gi_8WWH,0.345,"[0.280,0.435]",10.57,0.262,"[0.135,0.420]",9.21,0.100,"[0.070,0.140]",4.57,0.010,"[0.010,0.010]",7.90,0.467,"[0.350,0.560]",9.27,0.425,"[0.230,0.595]",8.02,0.090,"[0.020,0.165]",3.78
